,WK_DT,PIPE_NO,DV_R,DA_R,AV_R,AA_R,PM_R,FIN_JGMT
88,20220117080010400,PP22041200707,320,8316,358,6073,9270,1
89,20220117080010400,PP22041200707,320,8316,358,6073,9271,1
90,20220117080010600,PP22041200707,320,8290,362,5991,9276,1
91,20220117080010600,PP22041200707,320,8290,362,5991,9280,1
92,20220117080010800,PP22041200707,319,8316,366,5948,9299,1
93,20220117080010800,PP22041200707,319,8316,366,5948,9300,1
94,20220117080011000,PP22041200707,309,8292,363,6035,9321,1
95,20220117080011000,PP22041200707,309,8292,363,6035,9327,1
96,20220117080011200,PP22041200707,320,8324,364,5948,9270,1
97,20220117080011200,PP22041200707,320,8324,364,5948,9270,1
98,20220117080011500,PP22041200707,319,8330,364,5948,9270,1
99,20220117080011500,PP22041200707,319,8330,364,5948,9270,1
100,20220117080011600,PP22041200707,320,8321,359,6061,9270,1
101,20220117080011600,PP22041200707,320,8321,359,6061,9270,1
102,20220117080012000,PP22041200707,308,7934,360,6040,9275,1
103,20220117080012000,PP22041200707,308,7934,360,6040,9285,1
104,20220117080012300,PP22041200707,321,8295,359,6054,9288,1
105,20220117080012300,PP22041200707,321,8295,359,6054,9289,1
106,20220117080012800,PP22041200707,320,8299,358,6041,9288,1
107,20220117080012800,PP22041200707,320,8299,358,6041,9290,1
108,20220117080012900,PP22041200707,320,8307,362,5995,9300,1
109,20220117080012900,PP22041200707,320,8307,362,5995,9301,1
110,20220117080013100,PP22041200707,320,8301,358,6108,9300,1
111,20220117080013100,PP22041200707,320,8301,358,6108,9303,1
112,20220117080013300,PP22041200707,321,8281,357,6122,9317,1
113,20220117080013300,PP22041200707,321,8281,357,6122,9319,1
114,20220117080013500,PP22041200707,320,8302,361,5997,9320,1
115,20220117080013500,PP22041200707,320,8302,361,5997,9324,1
116,20220117080013700,PP22041200707,321,8278,364,5948,9333,1
117,20220117080013700,PP22041200707,321,8278,364,5948,9335,1
118,20220117080014000,PP22041200707,321,8250,362,5979,9330,1
119,20220117080014000,PP22041200707,321,8250,362,5979,9327,1
120,20220117080014200,PP22041200707,320,8299,361,5996,9328,1
121,20220117080014200,PP22041200707,320,8299,361,5996,9329,1
122,20220117080014500,PP22041200707,321,8295,360,6064,9319,1
123,20220117080014500,PP22041200707,321,8295,360,6064,9310,1
124,20220117080014700,PP22041200707,321,8270,362,5948,9308,1
125,20220117080014700,PP22041200707,321,8270,362,5948,9305,1
126,20220117080014900,PP22041200707,319,8319,359,6077,9300,1
127,20220117080014900,PP22041200707,319,8319,359,6077,9295,1
128,20220117080015100,PP22041200707,321,8267,364,5948,9296,1
129,20220117080015100,PP22041200707,321,8267,364,5948,9290,1
130,20220117080015300,PP22041200707,320,8294,359,6041,9285,1
131,20220117080015300,PP22041200707,320,8294,359,6041,9286,1
132,20220117080015600,PP22041200707,308,7934,360,6065,9279,1
133,20220117080015600,PP22041200707,308,7934,360,6065,9276,1
134,20220117080015900,PP22041200707,309,7934,361,5970,9275,1
135,20220117080015900,PP22041200707,309,7934,361,5970,9270,1
136,20220117080016000,PP22041200707,321,8278,361,5974,9270,1
137,20220117080016000,PP22041200707,321,8278,361,5974,9271,1
138,20220117080016300,PP22041200707,308,7934,361,6024,9276,1
139,20220117080016300,PP22041200707,308,7934,361,6024,9280,1
140,20220117080016500,PP22041200707,319,8360,357,6114,9299,1
141,20220117080016500,PP22041200707,319,8360,357,6114,9300,1
142,20220117080016800,PP22041200707,320,8282,359,5966,9321,1
143,20220117080016800,PP22041200707,320,8282,359,5966,9327,1
144,20220117080017000,PP22041200707,320,8326,358,6048,9270,1
145,20220117080017000,PP22041200707,320,8326,358,6048,9270,1
146,20220117080017200,PP22041200707,321,8279,358,6069,9270,1
147,20220117080017200,PP22041200707,321,8279,358,6069,9270,1
148,20220117080017400,PP22041200707,308,7934,362,5979,9270,1
149,20220117080017400,PP22041200707,308,7934,362,5979,9270,1
150,20220117080017700,PP22041200707,320,8315,358,5983,9275,1
151,20220117080017700,PP22041200707,320,8315,358,5983,9285,1
152,20220117080017800,PP22041200707,320,8340,360,6010,9288,1
153,20220117080017800,PP22041200707,320,8340,360,6010,9289,1
154,20220117080018200,PP22041200707,321,8280,363,6034,9288,1
155,20220117080018200,PP22041200707,321,8280,363,6034,9290,1
156,20220117080018400,PP22041200707,308,7934,362,5961,9300,1
157,20220117080018400,PP22041200707,308,7934,362,5961,9301,1
158,20220117080018600,PP22041200707,320,8316,359,6020,9300,1
159,20220117080018600,PP22041200707,320,8316,359,6020,9303,1
160,20220117080019000,PP22041200707,308,7934,363,5948,9317,1
161,20220117080019000,PP22041200707,308,7934,363,5948,9319,1
162,20220117080019400,PP22041200707,309,7934,363,5948,9320,1
163,20220117080019400,PP22041200707,309,7934,363,5948,9324,1
164,20220117080019600,PP22041200707,320,8303,357,6127,9333,1
165,20220117080019600,PP22041200707,320,8303,357,6127,9335,1
166,20220117080019800,PP22041200707,309,8267,362,5969,9330,1
167,20220117080019800,PP22041200707,309,8267,362,5969,9327,1
168,20220117080020100,PP22041200707,320,8312,363,5948,9328,1
169,20220117080020100,PP22041200707,320,8312,363,5948,9329,1
170,20220117080020200,PP22041200707,320,8279,362,5961,9319,1
171,20220117080020200,PP22041200707,320,8279,362,5961,9310,1
172,20220117080020500,PP22041200707,320,8298,359,6031,9308,1
173,20220117080020500,PP22041200707,320,8298,359,6031,9305,1
174,20220117080020600,PP22041200707,320,8333,358,6086,9300,1
175,20220117080020600,PP22041200707,320,8333,358,6086,9295,1
176,20220117080020900,PP22041200707,320,8302,360,6027,9296,1
177,20220117080020900,PP22041200707,320,8302,360,6027,9290,1
178,20220117080021200,PP22041200707,320,8313,359,6017,9285,1
179,20220117080021200,PP22041200707,320,8313,359,6017,9286,1
180,20220117080021400,PP22041200707,319,8332,359,6013,9279,1
181,20220117080021400,PP22041200707,319,8332,359,6013,9276,1
182,20220117080021600,PP22041200707,308,8313,364,5975,9275,1
183,20220117080021600,PP22041200707,308,8313,364,5975,9270,1
184,20220117080021900,PP22041200707,320,8313,361,5976,9270,1
185,20220117080021900,PP22041200707,320,8313,361,5976,9271,1
186,20220117080022100,PP22041200707,319,8320,359,6070,9276,1
187,20220117080022100,PP22041200707,319,8320,359,6070,9280,1
188,20220117080022300,PP22041200707,319,8364,360,5985,9299,1
189,20220117080022300,PP22041200707,319,8364,360,5985,9300,1
190,20220117080022500,PP22041200707,309,8044,363,5948,9321,1
191,20220117080022500,PP22041200707,309,8044,363,5948,9327,1
192,20220117080022800,PP22041200707,308,8302,363,5948,9270,1
193,20220117080022800,PP22041200707,308,8302,363,5948,9270,1
194,20220117080023000,PP22041200707,320,8292,360,6075,9270,1
195,20220117080023000,PP22041200707,320,8292,360,6075,9270,1
196,20220117080023200,PP22041200707,319,8357,359,5987,9270,1
197,20220117080023200,PP22041200707,319,8357,359,5987,9270,1
198,20220117080023600,PP22041200707,320,8298,359,6095,9270,1
199,20220117080023600,PP22041200707,320,8298,359,6095,9270,1
200,20220117080023900,PP22041200707,320,8269,362,5960,9270,1
201,20220117080023900,PP22041200707,320,8269,362,5960,9270,1
202,20220117080024100,PP22041200707,320,8300,357,6005,9270,1
203,20220117080024100,PP22041200707,320,8300,357,6005,9270,1
204,20220117080024200,PP22041200707,309,7934,357,6043,9270,1
205,20220117080024200,PP22041200707,309,7934,357,6043,9270,1
206,20220117080024300,PP22041200707,320,8326,362,5949,9270,1
207,20220117080024300,PP22041200707,320,8326,362,5949,9270,1
208,20220117080024700,PP22041200707,320,8317,359,5963,9270,1
209,20220117080024700,PP22041200707,320,8317,359,5963,9270,1
210,20220117080024800,PP22041200707,321,8292,361,6054,9270,1
211,20220117080024800,PP22041200707,321,8292,361,6054,9270,1
212,20220117080025100,PP22041200707,320,8296,359,6003,9270,1
213,20220117080025100,PP22041200707,320,8296,359,6003,9270,1
